conds,parset,model,ATM_ATR,BRAF,CASP3,CDC25A,CDC25B_C,CDK1,CHEK1,CHEK2,DSB_SSB,EGFR,MEK,MK2,Mitosis,Proliferation,RAS,TP53,p38,DNArepair
"kras$\Delta$, DNAdam, 0/0",46,model1010.bnet,0.007,1.0,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.86,1.0,0.007,0.016,0.008,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",46,model1010.bnet,0.012,1.0,0.012,0.012,0.012,0.012,,0.012,0.012,0.861,1.0,0.012,0.026,0.013,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",46,model1010.bnet,0.009,1.0,0.01,0.015,0.015,0.015,,0.009,0.009,0.858,1.0,0.009,0.026,0.016,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",46,model1010.bnet,0.027,1.0,0.028,0.039,0.039,0.039,,0.027,0.027,0.859,1.0,,0.068,0.039,1.0,,1.0,
"wt, no DNAdam",47,model1010.bnet,,0.807,,0.194,0.194,0.194,,,,0.807,0.807,,0.194,0.194,0.807,,0.807,
"kras$\Delta$, no DNAdam, 0/0",47,model1010.bnet,,1.0,,0.208,0.208,0.208,,,,0.808,1.0,,0.208,0.208,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",47,model1010.bnet,0.008,1.0,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.867,1.0,0.008,0.018,0.008,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",47,model1010.bnet,0.013,1.0,0.014,0.015,0.015,0.015,,0.013,0.013,0.857,1.0,0.013,0.03,0.016,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",47,model1010.bnet,0.011,1.0,0.012,0.016,0.016,0.016,,0.011,0.011,0.864,1.0,0.011,0.03,0.017,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",47,model1010.bnet,0.021,1.0,0.024,0.028,0.028,0.028,,0.021,0.021,0.861,1.0,,0.052,0.028,1.0,,1.0,
"wt, no DNAdam",48,model1010.bnet,,0.809,,0.19,0.19,0.19,,,,0.809,0.809,,0.19,0.19,0.809,,0.809,
"kras$\Delta$, no DNAdam, 0/0",48,model1010.bnet,,1.0,,0.164,0.164,0.164,,,,0.833,1.0,,0.164,0.164,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",48,model1010.bnet,0.033,1.0,0.034,0.006,0.006,0.006,0.033,0.033,0.033,0.853,1.0,0.033,0.041,0.007,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",48,model1010.bnet,0.048,1.0,0.048,0.012,0.012,0.012,,0.048,0.048,0.87,1.0,0.048,0.063,0.014,1.0,,1.0,0.0
"kras$\Delta$, DNAdam, 0/mk2i",48,model1010.bnet,0.044,1.0,0.045,0.01,0.01,0.01,,0.044,0.044,0.85,1.0,0.044,0.058,0.013,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",48,model1010.bnet,0.038,1.0,0.04,0.018,0.018,0.018,,0.038,0.038,0.873,1.0,,0.057,0.018,1.0,,1.0,0.0
"wt, no DNAdam",49,model1010.bnet,,0.798,,0.206,0.206,0.206,,,,0.798,0.798,,0.206,0.206,0.798,,0.798,
"kras$\Delta$, no DNAdam, 0/0",49,model1010.bnet,,1.0,,0.201,0.201,0.201,,,,0.79,1.0,,0.201,0.201,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",49,model1010.bnet,0.024,1.0,0.024,0.011,0.011,0.011,0.024,0.024,0.024,0.88,1.0,0.024,0.037,0.012,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",49,model1010.bnet,0.038,1.0,0.04,0.014,0.014,0.014,,0.038,0.038,0.866,1.0,0.038,0.056,0.016,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",49,model1010.bnet,0.036,1.0,0.039,0.013,0.013,0.013,,0.036,0.036,0.853,1.0,0.036,0.054,0.014,1.0,,1.0,0.0
"kras$\Delta$, DNAdam, chek1i/mk2i",49,model1010.bnet,0.045,1.0,0.048,0.016,0.016,0.016,,0.045,0.045,0.876,1.0,,0.064,0.017,1.0,,1.0,
"wt, no DNAdam",50,model1010.bnet,,0.81,,0.191,0.191,0.191,,,,0.81,0.81,,0.191,0.191,0.81,,0.81,
"kras$\Delta$, no DNAdam, 0/0",50,model1010.bnet,,1.0,,0.194,0.194,0.194,,,,0.802,1.0,,0.194,0.194,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",50,model1010.bnet,0.032,1.0,0.034,0.008,0.008,0.008,0.032,0.032,0.032,0.848,1.0,0.032,0.043,0.01,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",50,model1010.bnet,0.04,1.0,0.042,0.017,0.017,0.017,,0.04,0.04,0.855,1.0,0.04,0.063,0.02,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",50,model1010.bnet,0.044,1.0,0.045,0.012,0.012,0.012,,0.044,0.044,0.851,1.0,0.044,0.06,0.014,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",50,model1010.bnet,0.046,1.0,0.05,0.014,0.014,0.014,,0.046,0.046,0.857,1.0,,0.065,0.014,1.0,,1.0,
"wt, no DNAdam",51,model1010.bnet,,0.809,,0.19,0.19,0.19,,,,0.809,0.809,,0.19,0.19,0.809,,0.809,
"kras$\Delta$, no DNAdam, 0/0",51,model1010.bnet,,1.0,,0.196,0.196,0.196,,,,0.808,1.0,,0.196,0.196,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",51,model1010.bnet,0.036,1.0,0.038,0.006,0.006,0.006,0.036,0.036,0.036,0.856,1.0,0.036,0.044,0.007,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",51,model1010.bnet,0.044,1.0,0.045,0.009,0.009,0.009,,0.044,0.044,0.863,1.0,0.044,0.056,0.01,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",51,model1010.bnet,0.048,1.0,0.05,0.01,0.01,0.01,,0.048,0.048,0.865,1.0,0.048,0.061,0.011,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",51,model1010.bnet,0.049,1.0,0.05,0.013,0.013,0.013,,0.049,0.049,0.874,1.0,,0.064,0.014,1.0,,1.0,
"wt, no DNAdam",52,model1010.bnet,,0.788,,0.218,0.218,0.218,,,,0.788,0.788,,0.218,0.218,0.788,,0.788,
"kras$\Delta$, no DNAdam, 0/0",52,model1010.bnet,,1.0,,0.211,0.211,0.211,,,,0.796,1.0,,0.211,0.211,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",52,model1010.bnet,0.032,1.0,0.033,0.008,0.008,0.008,0.032,0.032,0.032,0.858,1.0,0.032,0.044,0.01,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",52,model1010.bnet,0.056,1.0,0.059,0.012,0.012,0.012,,0.057,0.056,0.848,1.0,0.056,0.072,0.012,1.0,,1.0,0.0
"kras$\Delta$, DNAdam, 0/mk2i",52,model1010.bnet,0.053,1.0,0.055,0.014,0.014,0.014,,0.053,0.053,0.847,1.0,0.053,0.069,0.014,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",52,model1010.bnet,0.048,1.0,0.05,0.01,0.01,0.01,,0.048,0.048,0.867,1.0,,0.06,0.01,1.0,,1.0,
"wt, no DNAdam",53,model1010.bnet,,0.81,,0.186,0.186,0.186,,,,0.81,0.81,,0.186,0.186,0.81,,0.81,
"kras$\Delta$, no DNAdam, 0/0",53,model1010.bnet,,1.0,,0.204,0.204,0.204,,,,0.796,1.0,,0.204,0.204,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",53,model1010.bnet,0.036,1.0,0.038,0.008,0.008,0.008,0.036,0.036,0.036,0.861,1.0,0.036,0.046,0.009,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",53,model1010.bnet,0.05,1.0,0.052,0.012,0.012,0.012,,0.05,0.05,0.859,1.0,0.05,0.064,0.013,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",53,model1010.bnet,0.042,1.0,0.044,0.01,0.01,0.01,,0.042,0.042,0.868,1.0,0.042,0.055,0.011,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",53,model1010.bnet,0.05,1.0,0.052,0.012,0.012,0.012,,0.05,0.05,0.869,1.0,,0.065,0.013,1.0,,1.0,
"wt, no DNAdam",54,model1010.bnet,,0.794,,0.262,0.262,0.262,,,,0.794,0.794,,0.262,0.262,0.794,,0.794,
"kras$\Delta$, no DNAdam, 0/0",54,model1010.bnet,,1.0,,0.23,0.23,0.23,,,,0.816,1.0,,0.23,0.23,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",54,model1010.bnet,0.002,1.0,0.002,0.008,0.008,0.008,0.002,0.002,0.002,0.866,1.0,0.002,0.011,0.008,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",54,model1010.bnet,0.005,1.0,0.005,0.017,0.017,0.017,,0.005,0.005,0.857,1.0,0.005,0.022,0.017,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",54,model1010.bnet,0.004,1.0,0.004,0.014,0.014,0.014,,0.004,0.004,0.873,1.0,0.004,0.018,0.014,1.0,,1.0,0.0
"kras$\Delta$, DNAdam, chek1i/mk2i",54,model1010.bnet,0.006,1.0,0.006,0.022,0.022,0.022,,0.006,0.006,0.876,1.0,,0.028,0.022,1.0,,1.0,0.0
"wt, no DNAdam",55,model1010.bnet,,0.82,,0.237,0.237,0.237,,,,0.82,0.82,,0.237,0.237,0.82,,0.82,
"kras$\Delta$, no DNAdam, 0/0",55,model1010.bnet,,1.0,,0.258,0.258,0.258,,,,0.802,1.0,,0.258,0.258,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",55,model1010.bnet,0.001,1.0,0.001,0.01,0.01,0.01,0.001,0.001,0.001,0.856,1.0,0.001,0.01,0.01,1.0,,1.0,0.0
"kras$\Delta$, DNAdam, chek1i/0",55,model1010.bnet,0.002,1.0,0.003,0.022,0.022,0.022,,0.002,0.002,0.865,1.0,0.002,0.025,0.022,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",55,model1010.bnet,0.003,1.0,0.004,0.018,0.018,0.018,,0.003,0.003,0.855,1.0,0.003,0.022,0.018,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",55,model1010.bnet,0.008,1.0,0.008,0.026,0.026,0.026,,0.008,0.008,0.865,1.0,,0.034,0.026,1.0,,1.0,0.0
"wt, no DNAdam",56,model1010.bnet,,0.792,,0.254,0.254,0.254,,,,0.792,0.792,,0.254,0.254,0.792,,0.792,
"kras$\Delta$, no DNAdam, 0/0",56,model1010.bnet,,1.0,,0.259,0.259,0.259,,,,0.795,1.0,,0.259,0.259,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",56,model1010.bnet,0.002,1.0,0.003,0.014,0.014,0.014,0.002,0.002,0.002,0.854,1.0,0.002,0.017,0.014,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",56,model1010.bnet,0.002,1.0,0.002,0.019,0.019,0.019,,0.002,0.002,0.862,1.0,0.002,0.023,0.02,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",56,model1010.bnet,0.004,1.0,0.004,0.011,0.011,0.011,,0.004,0.004,0.866,1.0,0.004,0.014,0.011,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",56,model1010.bnet,0.006,1.0,0.007,0.019,0.019,0.019,,0.006,0.006,0.876,1.0,,0.026,0.019,1.0,,1.0,
"wt, no DNAdam",57,model1010.bnet,,0.804,,0.244,0.244,0.244,,,,0.804,0.804,,0.244,0.244,0.804,,0.804,
"kras$\Delta$, no DNAdam, 0/0",57,model1010.bnet,,1.0,,0.25,0.25,0.25,,,,0.804,1.0,,0.25,0.25,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",57,model1010.bnet,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.856,1.0,0.01,0.02,0.011,1.0,,1.0,0.0
"kras$\Delta$, DNAdam, chek1i/0",57,model1010.bnet,0.008,1.0,0.01,0.01,0.01,0.01,,0.008,0.008,0.861,1.0,0.008,0.019,0.01,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",57,model1010.bnet,0.013,1.0,0.013,0.016,0.016,0.016,,0.013,0.013,0.858,1.0,0.013,0.03,0.016,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",57,model1010.bnet,0.016,1.0,0.017,0.019,0.019,0.019,,0.016,0.016,0.863,1.0,,0.036,0.019,1.0,,1.0,
"wt, no DNAdam",58,model1010.bnet,,0.79,,0.262,0.262,0.262,,,,0.79,0.79,,0.262,0.262,0.79,,0.79,
"kras$\Delta$, no DNAdam, 0/0",58,model1010.bnet,,1.0,,0.253,0.253,0.253,,,,0.799,1.0,,0.253,0.253,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",58,model1010.bnet,0.008,1.0,0.008,0.013,0.013,0.013,0.008,0.008,0.008,0.861,1.0,0.008,0.022,0.014,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",58,model1010.bnet,0.01,1.0,0.011,0.016,0.016,0.016,,0.01,0.01,0.863,1.0,0.01,0.027,0.016,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",58,model1010.bnet,0.008,1.0,0.009,0.02,0.02,0.02,,0.008,0.008,0.855,1.0,0.008,0.031,0.022,1.0,,1.0,0.0
"kras$\Delta$, DNAdam, chek1i/mk2i",58,model1010.bnet,0.02,1.0,0.022,0.021,0.021,0.021,,0.02,0.02,0.854,1.0,,0.043,0.021,1.0,,1.0,
"wt, no DNAdam",59,model1010.bnet,,0.825,,0.228,0.228,0.228,,,,0.825,0.825,,0.228,0.228,0.825,,0.825,
"kras$\Delta$, no DNAdam, 0/0",59,model1010.bnet,,1.0,,0.236,0.236,0.236,,,,0.812,1.0,,0.236,0.236,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",59,model1010.bnet,0.012,1.0,0.012,0.014,0.014,0.014,0.012,0.012,0.012,0.85,1.0,0.012,0.027,0.015,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",59,model1010.bnet,0.016,1.0,0.017,0.014,0.014,0.014,,0.016,0.016,0.872,1.0,0.016,0.032,0.014,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",59,model1010.bnet,0.013,1.0,0.014,0.014,0.014,0.014,,0.013,0.013,0.86,1.0,0.013,0.029,0.015,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",59,model1010.bnet,0.018,1.0,0.02,0.016,0.016,0.016,,0.018,0.018,0.874,1.0,,0.036,0.016,1.0,,1.0,
"wt, no DNAdam",60,model1010.bnet,,0.802,,0.243,0.243,0.243,,,,0.802,0.802,,0.243,0.243,0.802,,0.802,
"kras$\Delta$, no DNAdam, 0/0",60,model1010.bnet,,1.0,,0.244,0.244,0.244,,,,0.806,1.0,,0.244,0.244,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",60,model1010.bnet,0.016,1.0,0.016,0.013,0.013,0.013,0.016,0.016,0.016,0.865,1.0,0.016,0.03,0.014,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",60,model1010.bnet,0.012,1.0,0.013,0.014,0.014,0.014,,0.012,0.012,0.888,1.0,0.012,0.028,0.014,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",60,model1010.bnet,0.01,1.0,0.012,0.015,0.015,0.015,,0.01,0.01,0.868,1.0,0.01,0.029,0.016,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",60,model1010.bnet,0.018,1.0,0.019,0.019,0.019,0.019,,0.018,0.018,0.844,1.0,,0.038,0.019,1.0,,1.0,
"wt, no DNAdam",61,model1010.bnet,,0.785,,0.266,0.266,0.266,,,,0.785,0.785,,0.266,0.266,0.785,,0.785,
"kras$\Delta$, no DNAdam, 0/0",61,model1010.bnet,,1.0,,0.246,0.246,0.246,,,,0.804,1.0,,0.246,0.246,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",61,model1010.bnet,0.007,1.0,0.007,0.011,0.011,0.011,0.007,0.007,0.007,0.864,1.0,0.007,0.019,0.012,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",61,model1010.bnet,0.02,1.0,0.02,0.016,0.016,0.016,,0.02,0.02,0.862,1.0,0.02,0.036,0.016,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",61,model1010.bnet,0.013,1.0,0.013,0.017,0.017,0.017,,0.013,0.013,0.849,1.0,0.013,0.032,0.019,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",61,model1010.bnet,0.018,1.0,0.02,0.021,0.021,0.021,,0.018,0.018,0.856,1.0,,0.04,0.021,1.0,,1.0,
"wt, no DNAdam",62,model1010.bnet,,0.798,,0.26,0.26,0.26,,,,0.798,0.798,,0.26,0.26,0.798,,0.798,
"kras$\Delta$, no DNAdam, 0/0",62,model1010.bnet,,1.0,,0.243,0.243,0.243,,,,0.81,1.0,,0.243,0.243,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",62,model1010.bnet,0.01,1.0,0.01,0.014,0.014,0.014,0.01,0.01,0.01,0.871,1.0,0.01,0.024,0.014,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",62,model1010.bnet,0.01,1.0,0.012,0.016,0.016,0.016,,0.01,0.01,0.864,1.0,0.01,0.028,0.016,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",62,model1010.bnet,0.011,1.0,0.012,0.016,0.016,0.016,,0.011,0.011,0.86,1.0,0.011,0.03,0.018,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",62,model1010.bnet,0.018,1.0,0.019,0.014,0.014,0.014,,0.018,0.018,0.863,1.0,,0.032,0.014,1.0,,1.0,
"wt, no DNAdam",63,model1010.bnet,,0.797,,0.256,0.256,0.256,,,,0.797,0.797,,0.256,0.256,0.797,,0.797,
"kras$\Delta$, no DNAdam, 0/0",63,model1010.bnet,,1.0,,0.257,0.257,0.257,,,,0.794,1.0,,0.257,0.257,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",63,model1010.bnet,0.012,1.0,0.014,0.012,0.012,0.012,0.012,0.012,0.012,0.865,1.0,0.012,0.028,0.014,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",63,model1010.bnet,0.016,1.0,0.016,0.017,0.017,0.017,,0.016,0.016,0.854,1.0,0.016,0.035,0.019,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",63,model1010.bnet,0.012,1.0,0.013,0.02,0.02,0.02,,0.012,0.012,0.868,1.0,0.012,0.034,0.02,1.0,,1.0,0.0
"kras$\Delta$, DNAdam, chek1i/mk2i",63,model1010.bnet,0.04,1.0,0.042,0.049,0.049,0.049,,0.04,0.04,0.87,1.0,,0.091,0.049,1.0,,1.0,
"wt, no DNAdam",64,model1010.bnet,,0.802,,0.246,0.246,0.246,,,,0.802,0.802,,0.246,0.246,0.802,,0.802,
"kras$\Delta$, no DNAdam, 0/0",64,model1010.bnet,,1.0,,0.246,0.246,0.246,,,,0.807,1.0,,0.246,0.246,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",64,model1010.bnet,0.01,1.0,0.01,0.012,0.012,0.012,0.01,0.01,0.01,0.872,1.0,0.01,0.023,0.012,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",64,model1010.bnet,0.016,1.0,0.016,0.021,0.021,0.021,,0.016,0.016,0.867,1.0,0.016,0.038,0.022,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",64,model1010.bnet,0.016,1.0,0.017,0.02,0.02,0.02,,0.016,0.016,0.869,1.0,0.016,0.037,0.02,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",64,model1010.bnet,0.033,1.0,0.034,0.059,0.059,0.059,,0.033,0.032,0.859,1.0,,0.094,0.059,1.0,,1.0,0.0
"wt, no DNAdam",65,model1010.bnet,,0.803,,0.24,0.24,0.24,,,,0.803,0.803,,0.24,0.24,0.803,,0.803,
"kras$\Delta$, no DNAdam, 0/0",65,model1010.bnet,,1.0,,0.251,0.251,0.251,,,,0.796,1.0,,0.25,0.25,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",65,model1010.bnet,0.012,1.0,0.013,0.017,0.017,0.017,0.012,0.012,0.012,0.851,1.0,0.012,0.032,0.02,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",65,model1010.bnet,0.014,1.0,0.016,0.017,0.017,0.017,,0.014,0.014,0.864,1.0,0.014,0.034,0.018,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",65,model1010.bnet,0.012,1.0,0.014,0.022,0.022,0.022,,0.012,0.012,0.87,1.0,0.012,0.036,0.022,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",65,model1010.bnet,0.034,1.0,0.036,0.066,0.066,0.066,,0.034,0.034,0.864,1.0,,0.103,0.066,1.0,,1.0,
"wt, no DNAdam",66,model1010.bnet,,0.796,,0.264,0.264,0.264,,,,0.796,0.796,,0.264,0.264,0.796,,0.796,
"kras$\Delta$, no DNAdam, 0/0",66,model1010.bnet,,1.0,,0.244,0.244,0.244,,,,0.812,1.0,,0.244,0.244,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",66,model1010.bnet,0.04,1.0,0.044,0.01,0.01,0.01,0.04,0.04,0.04,0.864,1.0,0.04,0.059,0.015,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",66,model1010.bnet,0.053,1.0,0.054,0.02,0.02,0.02,,0.053,0.053,0.87,1.0,0.053,0.076,0.022,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",66,model1010.bnet,0.054,1.0,0.058,0.016,0.016,0.016,,0.054,0.054,0.853,1.0,0.054,0.078,0.02,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",66,model1010.bnet,0.063,1.0,0.068,0.027,0.027,0.027,,0.063,0.063,0.842,1.0,,0.095,0.027,1.0,,1.0,
"wt, no DNAdam",67,model1010.bnet,,0.818,,0.24,0.24,0.24,,,,0.818,0.818,,0.24,0.24,0.818,,0.818,
"kras$\Delta$, no DNAdam, 0/0",67,model1010.bnet,,1.0,,0.253,0.253,0.253,,,,0.793,1.0,,0.253,0.253,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",67,model1010.bnet,0.038,1.0,0.045,0.01,0.01,0.01,0.038,0.038,0.038,0.871,1.0,0.038,0.058,0.012,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",67,model1010.bnet,0.054,1.0,0.059,0.015,0.015,0.015,,0.054,0.054,0.852,1.0,0.054,0.075,0.016,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",67,model1010.bnet,0.056,1.0,0.058,0.016,0.016,0.016,,0.056,0.056,0.858,1.0,0.056,0.078,0.02,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",67,model1010.bnet,0.058,1.0,0.069,0.02,0.02,0.02,,0.058,0.058,0.85,1.0,,0.09,0.02,1.0,,1.0,
"wt, no DNAdam",68,model1010.bnet,,0.806,,0.248,0.248,0.248,,,,0.806,0.806,,0.248,0.248,0.806,,0.806,
"kras$\Delta$, no DNAdam, 0/0",68,model1010.bnet,,1.0,,0.246,0.246,0.246,,,,0.804,1.0,,0.246,0.246,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",68,model1010.bnet,0.044,1.0,0.046,0.008,0.008,0.008,0.044,0.044,0.044,0.866,1.0,0.044,0.055,0.01,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",68,model1010.bnet,0.052,1.0,0.053,0.02,0.02,0.02,,0.052,0.052,0.858,1.0,0.052,0.078,0.025,1.0,,1.0,0.0
"kras$\Delta$, DNAdam, 0/mk2i",68,model1010.bnet,0.06,1.0,0.064,0.015,0.015,0.015,,0.06,0.06,0.863,1.0,0.06,0.082,0.018,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",68,model1010.bnet,0.068,1.0,0.072,0.026,0.026,0.026,,0.068,0.068,0.861,1.0,,0.099,0.026,1.0,,1.0,
"wt, no DNAdam",69,model1010.bnet,,0.808,,0.241,0.241,0.241,,,,0.808,0.808,,0.241,0.241,0.808,,0.808,
"kras$\Delta$, no DNAdam, 0/0",69,model1010.bnet,,1.0,,0.246,0.246,0.246,,,,0.81,1.0,,0.246,0.246,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",69,model1010.bnet,0.046,1.0,0.048,0.014,0.014,0.014,0.046,0.046,0.046,0.864,1.0,0.046,0.062,0.014,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",69,model1010.bnet,0.07,1.0,0.074,0.011,0.011,0.011,,0.07,0.07,0.855,1.0,0.07,0.086,0.012,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",69,model1010.bnet,0.07,1.0,0.075,0.016,0.016,0.016,,0.07,0.07,0.863,1.0,0.07,0.091,0.016,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",69,model1010.bnet,0.07,1.0,0.07,0.017,0.017,0.017,,0.07,0.07,0.862,1.0,,0.087,0.017,1.0,,1.0,0.001
"wt, no DNAdam",70,model1010.bnet,,0.801,,0.249,0.249,0.249,,,,0.801,0.801,,0.249,0.249,0.801,,0.801,
"kras$\Delta$, no DNAdam, 0/0",70,model1010.bnet,,1.0,,0.272,0.272,0.272,,,,0.782,1.0,,0.272,0.272,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",70,model1010.bnet,0.05,1.0,0.053,0.014,0.014,0.014,0.05,0.05,0.05,0.862,1.0,0.05,0.066,0.014,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",70,model1010.bnet,0.069,1.0,0.073,0.016,0.016,0.016,,0.069,0.069,0.863,1.0,0.069,0.093,0.02,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",70,model1010.bnet,0.066,1.0,0.07,0.01,0.01,0.01,,0.067,0.066,0.864,1.0,0.066,0.084,0.015,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",70,model1010.bnet,0.076,1.0,0.078,0.023,0.023,0.023,,0.076,0.076,0.85,1.0,,0.102,0.023,1.0,,1.0,
"wt, no DNAdam",71,model1010.bnet,,0.816,,0.231,0.231,0.231,,,,0.816,0.816,,0.231,0.231,0.816,,0.816,
"kras$\Delta$, no DNAdam, 0/0",71,model1010.bnet,,1.0,,0.247,0.247,0.247,,,,0.803,1.0,,0.247,0.247,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",71,model1010.bnet,0.051,1.0,0.051,0.014,0.014,0.014,0.051,0.051,0.051,0.866,1.0,0.051,0.066,0.016,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",71,model1010.bnet,0.065,1.0,0.068,0.014,0.014,0.014,,0.065,0.065,0.858,1.0,0.065,0.084,0.016,1.0,,1.0,0.001
"kras$\Delta$, DNAdam, 0/mk2i",71,model1010.bnet,0.064,1.0,0.069,0.012,0.012,0.012,,0.064,0.064,0.859,1.0,0.064,0.083,0.014,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",71,model1010.bnet,0.078,1.0,0.08,0.014,0.014,0.014,,0.078,0.078,0.866,1.0,,0.094,0.014,1.0,,1.0,
"wt, no DNAdam",72,model1010.bnet,,0.808,,0.24,0.24,0.24,,,,0.808,0.808,,0.24,0.24,0.808,,0.808,
