chek1i,mk2i,etoposide,treatment,cell_line,expertype,time,variable,value,log2_scaled_value,scaled_value,scaled_value_no_etop,scaled_value_no_etop_across_samples,trunc_variable
0,0,0,DMSO,SW948,wes,NA,pP38_Thr180_Tyr182,1,0.242,0.151,0.426,0.024,pP38
0.5,0,0,0.5µM Chk1i,SW948,wes,NA,pP38_Thr180_Tyr182,0.896,0.144,0.085,0.239,0.014,pP38
1,0,0,1µM Chk1i,SW948,wes,NA,pP38_Thr180_Tyr182,1.211,0.413,0.286,0.806,0.046,pP38
0,2.5,0,2.5µM Mk2i,SW948,wes,NA,pP38_Thr180_Tyr182,1.319,0.49,0.354,1,0.057,pP38
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pP38_Thr180_Tyr182,0.763,0,0,0,0,pP38
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pP38_Thr180_Tyr182,0.795,0.037,0.02,0.058,0.003,pP38
0,0,0,DMSO,HCT116,facs,24,Cleaved_Caspase_3_24h,17,NA,NA,NA,NA,Cleaved
0.5,0,0,0.5µM Chk1i,HCT116,facs,24,Cleaved_Caspase_3_24h,17.6,NA,NA,NA,NA,Cleaved
1,0,0,1µM Chk1i,HCT116,facs,24,Cleaved_Caspase_3_24h,29.5,NA,NA,NA,NA,Cleaved
0,2.5,0,2.5µM Mk2i,HCT116,facs,24,Cleaved_Caspase_3_24h,13,NA,NA,NA,NA,Cleaved
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,24,Cleaved_Caspase_3_24h,24.4,NA,NA,NA,NA,Cleaved
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,24,Cleaved_Caspase_3_24h,29.3,NA,NA,NA,NA,Cleaved
0,0,0,DMSO,SW620,facs,24,Cleaved_Caspase_3_24h,0.72,NA,NA,NA,NA,Cleaved
0.5,0,0,0.5µM Chk1i,SW620,facs,24,Cleaved_Caspase_3_24h,1.1,NA,NA,NA,NA,Cleaved
1,0,0,1µM Chk1i,SW620,facs,24,Cleaved_Caspase_3_24h,4.13,NA,NA,NA,NA,Cleaved
0,2.5,0,2.5µM Mk2i,SW620,facs,24,Cleaved_Caspase_3_24h,0.85,NA,NA,NA,NA,Cleaved
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,24,Cleaved_Caspase_3_24h,6.41,NA,NA,NA,NA,Cleaved
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,24,Cleaved_Caspase_3_24h,15.5,NA,NA,NA,NA,Cleaved
0,0,0,DMSO,SW948,facs,24,Cleaved_Caspase_3_24h,18.3,NA,NA,NA,NA,Cleaved
0.5,0,0,0.5µM Chk1i,SW948,facs,24,Cleaved_Caspase_3_24h,36.3,NA,NA,NA,NA,Cleaved
1,0,0,1µM Chk1i,SW948,facs,24,Cleaved_Caspase_3_24h,18.7,NA,NA,NA,NA,Cleaved
