chek1i,mk2i,etoposide,treatment,cell_line,expertype,time,variable,value
0,0,0,DMSO,SW948,facs,48,Cleaved_Caspase_3_48h,25.3
0.5,0,0,0.5µM Chk1i,SW948,facs,48,Cleaved_Caspase_3_48h,49.8
1,0,0,1µM Chk1i,SW948,facs,48,Cleaved_Caspase_3_48h,37.6
0,2.5,0,2.5µM Mk2i,SW948,facs,48,Cleaved_Caspase_3_48h,40.5
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,48,Cleaved_Caspase_3_48h,48.1
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,48,Cleaved_Caspase_3_48h,49.6
0,0,42,42µM etoposide (2h),SW948,facs,48,Cleaved_Caspase_3_48h,NA
0,0,0,DMSO,HCT116,facs,72,Cleaved_Caspase_3_72h,4.41
0.5,0,0,0.5µM Chk1i,HCT116,facs,72,Cleaved_Caspase_3_72h,14.3
1,0,0,1µM Chk1i,HCT116,facs,72,Cleaved_Caspase_3_72h,37.1
0,2.5,0,2.5µM Mk2i,HCT116,facs,72,Cleaved_Caspase_3_72h,3.59
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,72,Cleaved_Caspase_3_72h,31.3
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,72,Cleaved_Caspase_3_72h,38.5
0,0,42,42µM etoposide (2h),HCT116,facs,72,Cleaved_Caspase_3_72h,3.64
0,0,0,DMSO,SW620,facs,72,Cleaved_Caspase_3_72h,0.24
0.5,0,0,0.5µM Chk1i,SW620,facs,72,Cleaved_Caspase_3_72h,1.21
1,0,0,1µM Chk1i,SW620,facs,72,Cleaved_Caspase_3_72h,5.07
0,2.5,0,2.5µM Mk2i,SW620,facs,72,Cleaved_Caspase_3_72h,0.95
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,72,Cleaved_Caspase_3_72h,2.21
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,72,Cleaved_Caspase_3_72h,17.5
0,0,42,42µM etoposide (2h),SW620,facs,72,Cleaved_Caspase_3_72h,0.63
0,0,0,DMSO,SW948,facs,72,Cleaved_Caspase_3_72h,13.8
0.5,0,0,0.5µM Chk1i,SW948,facs,72,Cleaved_Caspase_3_72h,13.8
1,0,0,1µM Chk1i,SW948,facs,72,Cleaved_Caspase_3_72h,28.9
0,2.5,0,2.5µM Mk2i,SW948,facs,72,Cleaved_Caspase_3_72h,12.9
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,72,Cleaved_Caspase_3_72h,31.1
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,72,Cleaved_Caspase_3_72h,45
0,0,42,42µM etoposide (2h),SW948,facs,72,Cleaved_Caspase_3_72h,10
0,0,0,DMSO,HCT116,facs,24,pHistone_H3_24h,8.31
